kpiId;KpiName;value;DataType;period;StartDate;EndDate;CollectionFrequency
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019;01/04/2018;31/03/2019;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Q1;01/04/2018;30/06/2018;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_May;01/05/2018;31/05/2018;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Jun;01/06/2018;30/06/2018;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Jul;01/07/2018;31/07/2018;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Q2;01/07/2018;30/09/2018;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Aug;01/08/2018;31/08/2018;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Sep;01/09/2018;30/09/2018;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Oct;01/10/2018;31/10/2018;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Q3;01/10/2018;31/12/2018;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Nov;01/11/2018;30/11/2018;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Dec;01/12/2018;31/12/2018;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Jan;01/01/2019;31/01/2019;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Q4;01/01/2019;31/03/2019;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Feb;01/02/2019;28/02/2019;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Mar;01/03/2019;31/03/2019;Monthly
